"id","x"
"1",1
"2",5
"3",1
"4",6
"5",2
"6",3
"7",1
"8",2
"9",2
"10",2
"11",2
"12",6
"13",2
"14",6
"15",6
"16",1
"17",8
"18",3
"19",1
"20",1
"21",2
"22",2
"23",2
"24",2
"25",2
"26",5
"27",7
"28",6
"29",7
"30",6
"31",5
"32",1
"33",8
"34",2
"35",3
"36",2
"37",6
"38",2
"39",8
"40",6
"41",6
"42",8
"43",1
"44",4
"45",2
"46",6
"47",5
"48",2
"49",5
"50",2
"51",6
"52",5
"53",6
"54",2
"55",5
"56",1
"57",5
"58",3
"59",6
"60",6
"61",6
"62",7
"63",2
"64",8
"65",2
"66",5
"67",6
"68",6
"69",1
"70",2
"71",3
"72",5
"73",1
"74",2
"75",8
"76",8
"77",8
"78",2
"79",1
"80",5
"81",8
"82",6
"83",6
"84",8
"85",5
"86",2
"87",5
"88",8
"89",3
"90",2
"91",2
"92",6
"93",1
"94",6
"95",3
"96",5
"97",8
"98",3
"99",5
"100",6
"101",2
"102",6
"103",5
"104",6
"105",2
"106",1
"107",2
"108",5
"109",8
"110",1
"111",2
"112",6
"113",5
"114",8
"115",2
"116",6
"117",6
"118",2
"119",2
"120",2
"121",1
"122",2
"123",8
"124",8
"125",1
"126",7
"127",5
"128",2
"129",8
"130",2
"131",6
"132",5
"133",6
"134",6
"135",8
"136",5
"137",6
"138",5
"139",2
"140",8
"141",5
"142",1
"143",2
"144",2
"145",5
"146",5
"147",8
"148",5
"149",1
"150",8
"151",5
"152",3
"153",2
"154",2
"155",6
"156",2
"157",1
"158",8
"159",2
"160",2
"161",1
"162",6
"163",2
"164",6
"165",8
"166",2
"167",5
"168",7
"169",8
"170",3
"171",5
"172",2
"173",5
"174",5
"175",8
"176",5
"177",2
"178",8
"179",1
"180",8
"181",3
"182",2
"183",6
"184",1
"185",7
"186",7
"187",6
"188",7
"189",3
"190",1
"191",8
"192",3
"193",6
"194",2
"195",8
"196",2
"197",8
"198",1
"199",1
"200",8
"201",6
"202",2
"203",6
"204",7
"205",1
"206",1
"207",2
"208",7
"209",5
"210",5
"211",6
"212",2
"213",6
"214",2
"215",2
"216",3
"217",1
"218",2
"219",2
"220",5
"221",3
"222",1
"223",8
"224",3
"225",5
"226",8
"227",1
"228",6
"229",2
"230",8
"231",1
"232",5
"233",2
"234",7
"235",8
"236",6
"237",1
"238",5
"239",2
"240",3
"241",6
"242",1
"243",3
"244",6
"245",2
"246",7
"247",6
"248",8
"249",3
"250",6
"251",6
"252",8
"253",8
"254",2
"255",2
"256",6
"257",2
"258",8
"259",3
"260",1
"261",2
"262",6
"263",5
"264",1
"265",1
"266",8
"267",2
"268",2
"269",3
"270",2
"271",2
"272",2
"273",2
"274",5
"275",5
"276",8
"277",2
"278",8
"279",8
"280",6
"281",2
"282",7
"283",8
"284",5
"285",2
"286",8
"287",2
"288",6
"289",3
"290",1
"291",2
"292",2
"293",6
"294",8
"295",2
"296",6
"297",8
"298",5
"299",1
"300",8
"301",8
"302",1
"303",2
"304",2
"305",8
"306",8
"307",3
"308",5
"309",2
"310",6
"311",2
"312",8
"313",6
"314",8
"315",2
"316",6
"317",6
"318",3
"319",2
"320",1
"321",6
"322",1
"323",6
"324",2
"325",6
"326",8
"327",2
"328",8
"329",6
"330",6
"331",6
"332",8
"333",3
"334",8
"335",8
"336",5
"337",8
"338",5
"339",2
"340",3
"341",5
"342",2
"343",1
"344",2
"345",8
"346",8
"347",1
"348",1
"349",1
"350",5
"351",1
"352",5
"353",2
"354",1
"355",8
"356",7
"357",2
"358",8
"359",6
"360",1
"361",8
"362",6
"363",6
"364",2
"365",2
"366",7
"367",8
"368",2
"369",1
"370",7
"371",2
"372",6
"373",6
"374",2
"375",2
"376",3
"377",3
"378",2
"379",1
"380",3
"381",5
"382",2
"383",2
"384",6
"385",5
"386",8
"387",5
"388",1
"389",2
"390",7
"391",3
"392",2
"393",2
"394",2
"395",6
"396",5
"397",3
"398",2
"399",2
"400",8
"401",6
"402",8
"403",6
"404",6
"405",3
"406",8
"407",1
"408",2
"409",5
"410",5
"411",2
"412",6
"413",7
"414",2
"415",2
"416",3
"417",6
"418",2
"419",8
"420",2
"421",1
"422",2
"423",1
"424",6
"425",2
"426",1
"427",6
"428",1
"429",5
"430",8
"431",2
"432",2
"433",8
"434",5
"435",8
"436",6
"437",6
"438",6
"439",3
"440",5
"441",1
"442",6
"443",2
"444",5
"445",1
"446",1
"447",5
"448",1
"449",5
"450",1
"451",8
"452",5
"453",5
"454",2
"455",5
"456",1
"457",2
"458",2
"459",2
"460",6
"461",1
"462",6
"463",3
"464",2
"465",5
"466",8
"467",8
"468",5
"469",3
"470",5
"471",1
"472",6
"473",1
"474",5
"475",5
"476",2
"477",2
"478",6
"479",3
"480",3
"481",5
"482",8
"483",2
"484",2
"485",2
"486",5
"487",5
"488",7
"489",1
"490",6
"491",6
"492",1
"493",3
"494",5
"495",8
"496",1
"497",2
"498",2
"499",2
"500",5
